ModelName,ProductColor,ProductCost,ProductDescription,ProductsKey,ProductName,ProductPrice,ProductSize,ProductSKU,ProductStyle,SubcategoryName,CategoryName
HL Bottom Bracket,NA,53.9416,Aluminum alloy cups and a hollow axle.,603,HL Bottom Bracket,121.49,0,BB-9108,0,Bottom Brackets,Components
HL Crankset,Black,179.8156,Triple crankset; alumunim crank arm; flawless shifting.,558,HL Crankset,404.99,0,CS-9183,0,Cranksets,Components
HL Fork,NA,101.8936,High-performance carbon road fork with curved legs.,393,HL Fork,229.49,0,FK-9939,0,Forks,Components
HL Headset,NA,55.3801,"High-quality 1"" threadless headset with a grease port for quick lubrication.",396,HL Headset,124.73,0,HS-3479,0,Headsets,Components
HL Mountain Frame,Black,617.0281,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,296,"HL Mountain Frame - Black, 42",1191.1739,42,FR-M94B-42,U,Mountain Frames,Components
HL Mountain Frame,Black,699.0928,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,299,"HL Mountain Frame - Black, 44",1349.6,44,FR-M94B-44,U,Mountain Frames,Components
HL Mountain Frame,Black,699.0928,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,300,"HL Mountain Frame - Black, 48",1349.6,48,FR-M94B-48,U,Mountain Frames,Components
HL Mountain Frame,Black,617.0281,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,301,"HL Mountain Frame - Black, 46",1191.1739,46,FR-M94B-46,U,Mountain Frames,Components
HL Mountain Frame,Black,617.0281,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,304,"HL Mountain Frame - Black, 38",1191.1739,38,FR-M94B-38,U,Mountain Frames,Components
HL Mountain Frame,Silver,623.8403,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,288,"HL Mountain Frame - Silver, 42",1204.3248,42,FR-M94S-42,U,Mountain Frames,Components
HL Mountain Frame,Silver,706.811,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,291,"HL Mountain Frame - Silver, 44",1364.5,44,FR-M94S-44,U,Mountain Frames,Components
HL Mountain Frame,Silver,706.811,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,292,"HL Mountain Frame - Silver, 48",1364.5,48,FR-M94S-52,U,Mountain Frames,Components
HL Mountain Frame,Silver,623.8403,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,293,"HL Mountain Frame - Silver, 46",1204.3248,46,FR-M94S-46,U,Mountain Frames,Components
HL Mountain Frame,Silver,623.8403,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,307,"HL Mountain Frame - Silver, 38",1204.3248,38,FR-M94S-38,U,Mountain Frames,Components
HL Mountain Front Wheel,Black,133.2955,High-performance mountain replacement wheel.,412,HL Mountain Front Wheel,300.215,0,FW-M928,0,Wheels,Components
HL Mountain Handlebars,NA,48.5453,Flat bar strong enough for the pro circuit.,401,HL Mountain Handlebars,109.3364,0,HB-M918,0,Handlebars,Components
HL Mountain Pedal,Silver/Black,35.9596,Stainless steel; designed to shed mud easily.,544,HL Mountain Pedal,80.99,0,PD-M562,0,Pedals,Components
HL Mountain Rear Wheel,Black,145.2835,High-performance mountain replacement wheel.,421,HL Mountain Rear Wheel,327.215,0,RW-M928,0,Wheels,Components
HL Mountain Seat/Saddle 2,NA,23.3722,Anatomic design for a full-day of riding in comfort. Durable leather.,517,HL Mountain Seat/Saddle,52.64,0,SE-M940,0,Saddles,Components
HL Mountain Tire,NA,13.09,"Incredible traction, lightweight carbon reinforced.",537,HL Mountain Tire,35,0,TI-M823,0,Tires and Tubes,Accessories
HL Road Frame,Black,722.2568,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,437,"HL Road Frame - Black, 62",1301.3636,62,FR-R92B-62,U,Road Frames,Components
HL Road Frame,Black,722.2568,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,439,"HL Road Frame - Black, 44",1301.3636,44,FR-R92B-44,U,Road Frames,Components
HL Road Frame,Black,722.2568,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,441,"HL Road Frame - Black, 48",1301.3636,48,FR-R92B-48,U,Road Frames,Components
HL Road Frame,Black,722.2568,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,443,"HL Road Frame - Black, 52",1301.3636,52,FR-R92B-52,U,Road Frames,Components
HL Road Frame,Red,747.9682,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,238,"HL Road Frame - Red, 62",1263.4598,62,FR-R92R-62,U,Road Frames,Components
HL Road Frame,Red,747.9682,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,241,"HL Road Frame - Red, 44",1263.4598,44,FR-R92R-44,U,Road Frames,Components
HL Road Frame,Red,747.9682,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,244,"HL Road Frame - Red, 48",1263.4598,48,FR-R92R-48,U,Road Frames,Components
HL Road Frame,Red,747.9682,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,247,"HL Road Frame - Red, 52",1263.4598,52,FR-R92R-52,U,Road Frames,Components
HL Road Frame,Red,747.9682,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,250,"HL Road Frame - Red, 56",1263.4598,56,FR-R92R-56,U,Road Frames,Components
HL Road Front Wheel,Black,146.5466,Strong wheel with double-walled rim.,415,HL Road Front Wheel,330.06,0,FW-R820,0,Wheels,Components
HL Road Handlebars,NA,48.5453,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,407,HL Road Handlebars,109.3364,0,HB-R956,0,Handlebars,Components
HL Road Pedal,Silver/Black,35.9596,Top-of-the-line clipless pedals with adjustable tension.,547,HL Road Pedal,80.99,0,PD-R853,0,Pedals,Components
HL Road Rear Wheel,Black,158.5346,Strong rear wheel with double-walled rim.,424,HL Road Rear Wheel,357.06,0,RW-R820,0,Wheels,Components
HL Road Seat/Saddle 2,NA,23.3722,Lightweight kevlar racing saddle. Leather.,520,HL Road Seat/Saddle,52.64,0,SE-R995,0,Saddles,Components
HL Road Tire,NA,12.1924,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,540,HL Road Tire,32.6,0,TI-R982,0,Tires and Tubes,Accessories
HL Touring Frame,Blue,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,497,"HL Touring Frame - Blue, 46",1003.91,46,FR-T98U-46,U,Touring Frames,Components
HL Touring Frame,Blue,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,498,"HL Touring Frame - Blue, 50",1003.91,50,FR-T98U-50,U,Touring Frames,Components
HL Touring Frame,Blue,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,499,"HL Touring Frame - Blue, 54",1003.91,54,FR-T98U-54,U,Touring Frames,Components
HL Touring Frame,Blue,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,500,"HL Touring Frame - Blue, 60",1003.91,60,FR-T98U-60,U,Touring Frames,Components
HL Touring Frame,Yellow,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,492,"HL Touring Frame - Yellow, 60",1003.91,60,FR-T98Y-60,U,Touring Frames,Components
HL Touring Frame,Yellow,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,494,"HL Touring Frame - Yellow, 46",1003.91,46,FR-T98Y-46,U,Touring Frames,Components
HL Touring Frame,Yellow,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,495,"HL Touring Frame - Yellow, 50",1003.91,50,FR-T98Y-50,U,Touring Frames,Components
HL Touring Frame,Yellow,601.7437,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,496,"HL Touring Frame - Yellow, 54",1003.91,54,FR-T98Y-54,U,Touring Frames,Components
HL Touring Handlebars,NA,40.6571,A light yet stiff aluminum bar for long distance riding.,554,HL Touring Handlebars,91.57,0,HB-T928,0,Handlebars,Components
HL Touring Seat/Saddle,NA,23.3722,Cut-out shell for a more comfortable ride.,523,HL Touring Seat/Saddle,52.64,0,SE-T924,0,Saddles,Components
Hydration Pack,Silver,20.5663,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",487,Hydration Pack - 70 oz.,54.99,70,HY-1023-70,0,Hydration Packs,Accessories
LL Bottom Bracket,NA,23.9716,Chromoly steel.,601,LL Bottom Bracket,53.99,0,BB-7421,0,Bottom Brackets,Components
LL Crankset,Black,77.9176,Super rigid spindle.,556,LL Crankset,175.49,0,CS-4759,0,Cranksets,Components
LL Fork,NA,65.8097,Stout design absorbs shock and offers more precise steering.,391,LL Fork,148.22,0,FK-1639,0,Forks,Components
LL Headset,NA,15.1848,Threadless headset provides quality at an economical price.,394,LL Headset,34.2,0,HS-0296,0,Headsets,Components
LL Mountain Frame,Black,136.785,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",531,"LL Mountain Frame - Black, 42",249.79,42,FR-M21B-42,U,Mountain Frames,Components
LL Mountain Frame,Black,136.785,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",532,"LL Mountain Frame - Black, 44",249.79,44,FR-M21B-44,U,Mountain Frames,Components
LL Mountain Frame,Black,136.785,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",533,"LL Mountain Frame - Black, 48",249.79,48,FR-M21B-48,U,Mountain Frames,Components
LL Mountain Frame,Black,136.785,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",534,"LL Mountain Frame - Black, 52",249.79,52,FR-M21B-52,U,Mountain Frames,Components
LL Mountain Frame,Black,136.785,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",550,"LL Mountain Frame - Black, 40",249.79,40,FR-M21B-40,U,Mountain Frames,Components
LL Mountain Frame,Silver,144.5938,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",524,"LL Mountain Frame - Silver, 42",264.05,42,FR-M21S-42,U,Mountain Frames,Components
LL Mountain Frame,Silver,144.5938,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",525,"LL Mountain Frame - Silver, 44",264.05,44,FR-M21S-44,U,Mountain Frames,Components
LL Mountain Frame,Silver,144.5938,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",526,"LL Mountain Frame - Silver, 48",264.05,48,FR-M21S-48,U,Mountain Frames,Components
LL Mountain Frame,Silver,144.5938,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",527,"LL Mountain Frame - Silver, 52",264.05,52,FR-M21S-52,U,Mountain Frames,Components
LL Mountain Frame,Silver,144.5938,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame.",551,"LL Mountain Frame - Silver, 40",264.05,40,FR-M21S-40,U,Mountain Frames,Components
LL Mountain Front Wheel,Black,26.9708,Replacement mountain wheel for entry-level rider.,410,LL Mountain Front Wheel,60.745,0,FW-M423,0,Wheels,Components
LL Mountain Handlebars,NA,17.978,All-purpose bar for on or off-road.,397,LL Mountain Handlebars,40.4909,0,HB-M243,0,Handlebars,Components
LL Mountain Pedal,Silver/Black,17.9776,Expanded platform so you can ride in any shoes; great for all-around riding.,542,LL Mountain Pedal,40.49,0,PD-M282,0,Pedals,Components
LL Mountain Rear Wheel,Black,38.9588,Replacement mountain wheel for entry-level rider.,419,LL Mountain Rear Wheel,87.745,0,RW-M423,0,Wheels,Components
LL Mountain Seat/Saddle 2,NA,12.0413,Synthetic leather. Features gel for increased comfort.,515,LL Mountain Seat/Saddle,27.12,0,SE-M236,0,Saddles,Components
LL Mountain Tire,NA,9.3463,"Comparible traction, less expensive wire bead casing.",535,LL Mountain Tire,24.99,0,TI-M267,0,Tires and Tubes,Accessories
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",253,"LL Road Frame - Black, 58",297.6346,58,FR-R38B-58,U,Road Frames,Components
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",256,"LL Road Frame - Black, 60",297.6346,60,FR-R38B-60,U,Road Frames,Components
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",259,"LL Road Frame - Black, 62",297.6346,62,FR-R38B-62,U,Road Frames,Components
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",279,"LL Road Frame - Black, 44",297.6346,44,FR-R38B-44,U,Road Frames,Components
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",282,"LL Road Frame - Black, 48",297.6346,48,FR-R38B-48,U,Road Frames,Components
LL Road Frame,Black,176.1997,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",285,"LL Road Frame - Black, 52",297.6346,52,FR-R38B-52,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",262,"LL Road Frame - Red, 44",306.5636,44,FR-R38R-44,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",264,"LL Road Frame - Red, 48",306.5636,48,FR-R38R-48,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",266,"LL Road Frame - Red, 52",306.5636,52,FR-R38R-52,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",268,"LL Road Frame - Red, 58",306.5636,58,FR-R38R-58,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",270,"LL Road Frame - Red, 60",306.5636,60,FR-R38R-60,U,Road Frames,Components
LL Road Frame,Red,181.4857,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",272,"LL Road Frame - Red, 62",306.5636,62,FR-R38R-62,U,Road Frames,Components
LL Road Front Wheel,Black,37.9909,Replacement road front wheel for entry-level cyclist.,413,LL Road Front Wheel,85.565,0,FW-R623,0,Wheels,Components
LL Road Handlebars,NA,17.978,Unique shape provides easier reach to the levers.,403,LL Road Handlebars,40.4909,0,HB-R504,0,Handlebars,Components
LL Road Pedal,Silver/Black,17.9776,Clipless pedals - aluminum.,545,LL Road Pedal,40.49,0,PD-R347,0,Pedals,Components
LL Road Rear Wheel,Black,49.9789,Replacement road rear wheel for entry-level cyclist.,422,LL Road Rear Wheel,112.565,0,RW-R623,0,Wheels,Components
LL Road Seat/Saddle 1,NA,12.0413,Lightweight foam-padded saddle.,518,LL Road Seat/Saddle,27.12,0,SE-R581,0,Saddles,Components
LL Road Tire,NA,8.0373,Same great treads as more expensive tire with a less expensive wire bead casing.,538,LL Road Tire,21.49,0,TI-R092,0,Tires and Tubes,Accessories
LL Touring Frame,Blue,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,502,"LL Touring Frame - Blue, 50",333.42,50,FR-T67U-50,U,Touring Frames,Components
LL Touring Frame,Blue,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,503,"LL Touring Frame - Blue, 54",333.42,54,FR-T67U-54,U,Touring Frames,Components
LL Touring Frame,Blue,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,504,"LL Touring Frame - Blue, 58",333.42,58,FR-T67U-58,U,Touring Frames,Components
LL Touring Frame,Blue,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,505,"LL Touring Frame - Blue, 62",333.42,62,FR-T67U-62,U,Touring Frames,Components
LL Touring Frame,Blue,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,510,"LL Touring Frame - Blue, 44",333.42,44,FR-T67U-44,U,Touring Frames,Components
LL Touring Frame,Yellow,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,493,"LL Touring Frame - Yellow, 62",333.42,62,FR-T67Y-62,U,Touring Frames,Components
LL Touring Frame,Yellow,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,506,"LL Touring Frame - Yellow, 44",333.42,44,FR-T67Y-44,U,Touring Frames,Components
LL Touring Frame,Yellow,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,507,"LL Touring Frame - Yellow, 50",333.42,50,FR-T67Y-50,U,Touring Frames,Components
LL Touring Frame,Yellow,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,508,"LL Touring Frame - Yellow, 54",333.42,54,FR-T67Y-54,U,Touring Frames,Components
LL Touring Frame,Yellow,199.8519,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,509,"LL Touring Frame - Yellow, 58",333.42,58,FR-T67Y-58,U,Touring Frames,Components
LL Touring Handlebars,NA,20.464,Unique shape reduces fatigue for entry level riders.,553,LL Touring Handlebars,46.09,0,HB-T721,0,Handlebars,Components
LL Touring Seat/Saddle,NA,12.0413,"Comfortable, ergonomically shaped gel saddle.",521,LL Touring Seat/Saddle,27.12,0,SE-T312,0,Saddles,Components
Long-Sleeve Logo Jersey,Multi,31.7244,Unisex long-sleeve AWC logo microfiber cycling jersey,226,"Long-Sleeve Logo Jersey, S",48.0673,S,LJ-0192-S,U,Jerseys,Clothing
Long-Sleeve Logo Jersey,Multi,31.7244,Unisex long-sleeve AWC logo microfiber cycling jersey,229,"Long-Sleeve Logo Jersey, M",48.0673,M,LJ-0192-M,U,Jerseys,Clothing
Long-Sleeve Logo Jersey,Multi,31.7244,Unisex long-sleeve AWC logo microfiber cycling jersey,232,"Long-Sleeve Logo Jersey, L",48.0673,L,LJ-0192-L,U,Jerseys,Clothing
Long-Sleeve Logo Jersey,Multi,31.7244,Unisex long-sleeve AWC logo microfiber cycling jersey,235,"Long-Sleeve Logo Jersey, XL",48.0673,XL,LJ-0192-X,U,Jerseys,Clothing
Men's Bib-Shorts,Multi,37.1209,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",459,"Men's Bib-Shorts, S",89.99,S,SB-M891-S,M,Bib-Shorts,Clothing
Men's Bib-Shorts,Multi,37.1209,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",460,"Men's Bib-Shorts, M",89.99,M,SB-M891-M,M,Bib-Shorts,Clothing
Men's Bib-Shorts,Multi,37.1209,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",461,"Men's Bib-Shorts, L",89.99,L,SB-M891-L,M,Bib-Shorts,Clothing
Men's Sports Shorts,Black,24.7459,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,445,"Men's Sports Shorts, S",59.99,S,SH-M897-S,M,Shorts,Clothing
Men's Sports Shorts,Black,24.7459,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,453,"Men's Sports Shorts, M",59.99,M,SH-M897-M,M,Shorts,Clothing
Men's Sports Shorts,Black,24.7459,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,454,"Men's Sports Shorts, L",59.99,L,SH-M897-L,M,Shorts,Clothing
Men's Sports Shorts,Black,24.7459,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,455,"Men's Sports Shorts, XL",59.99,XL,SH-M897-X,M,Shorts,Clothing
Minipump,NA,8.2459,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,448,Minipump,19.99,0,PU-0452,0,Pumps,Accessories
ML Bottom Bracket,NA,44.9506,Aluminum alloy cups; large diameter spindle.,602,ML Bottom Bracket,101.24,0,BB-8107,0,Bottom Brackets,Components
ML Crankset,Black,113.8816,High-strength crank arm.,557,ML Crankset,256.49,0,CS-6583,0,Cranksets,Components
ML Fork,NA,77.9176,Composite road fork with an aluminum steerer tube.,392,ML Fork,175.49,0,FK-5136,0,Forks,Components
ML Headset,NA,45.4168,Sealed cartridge keeps dirt out.,395,ML Headset,102.29,0,HS-2451,0,Headsets,Components
ML Mountain Frame,Black,185.8193,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,426,"ML Mountain Frame - Black, 40",348.76,40,FR-M63B-40,U,Mountain Frames,Components
ML Mountain Frame,Black,185.8193,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,427,"ML Mountain Frame - Black, 44",348.76,44,FR-M63B-44,U,Mountain Frames,Components
ML Mountain Frame,Black,185.8193,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,428,"ML Mountain Frame - Black, 48",348.76,48,FR-M63B-48,U,Mountain Frames,Components
ML Mountain Frame-W,Black,185.8193,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,409,"ML Mountain Frame - Black, 38",348.76,38,FR-M63B-38,U,Mountain Frames,Components
ML Mountain Frame-W,Silver,199.3757,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,511,"ML Mountain Frame-W - Silver, 40",364.09,40,FR-M63S-40,W,Mountain Frames,Components
ML Mountain Frame-W,Silver,199.3757,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,512,"ML Mountain Frame-W - Silver, 42",364.09,42,FR-M63S-42,W,Mountain Frames,Components
ML Mountain Frame-W,Silver,199.3757,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,513,"ML Mountain Frame-W - Silver, 46",364.09,46,FR-M63S-46,W,Mountain Frames,Components
ML Mountain Frame-W,Silver,199.3757,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,549,"ML Mountain Frame-W - Silver, 38",364.09,38,FR-M63S-38,W,Mountain Frames,Components
ML Mountain Front Wheel,Black,92.8071,Replacement mountain wheel for the casual to serious rider.,411,ML Mountain Front Wheel,209.025,0,FW-M762,0,Wheels,Components
ML Mountain Handlebars,NA,24.9932,Tough aluminum alloy bars for downhill.,399,ML Mountain Handlebars,56.2909,0,HB-M763,0,Handlebars,Components
